gene,T,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.3,3.0,fall,50,18,18,0,18,0,0,18,0,0,2.170318522882302,2.7365182514047266,2.32332663909955,1.0,0.0,0.0,1.0,0.0
Kr,0.3,3.0,fall,60,18,18,0,18,0,0,18,0,0,1.6774470696619077,2.381391350567149,1.8281731429142172,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.01,rise,40,18,18,0,18,0,0,18,0,0,0.2551619901753709,0.4304751203477954,0.3334161652623258,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.01,rise,50,18,18,0,18,0,0,18,0,0,0.2778021441865342,0.4369751060349974,0.32937537479278206,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.01,rise,60,18,18,0,18,0,0,18,0,0,0.2935273877822114,0.4413708487493024,0.3322488291176648,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.01,fall,40,18,18,0,18,0,0,18,0,0,0.2076141504602628,0.3937188843604584,0.3136550801840609,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.01,fall,50,18,18,0,18,0,0,18,0,0,0.2286388089277107,0.3937188579150588,0.31990733302528546,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.01,fall,60,18,18,0,18,0,0,18,0,0,0.2488233924550871,0.3937188612259206,0.32302145916905356,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.03,rise,40,18,18,0,18,0,0,18,0,0,0.2834307077881558,0.4314217159815283,0.34692383063109855,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.03,rise,50,18,18,0,18,0,0,18,0,0,0.3023657304554249,0.4379584021453951,0.34471220286985876,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.03,rise,60,18,18,0,18,0,0,18,0,0,0.3160844861198425,0.4422647924691691,0.347068216256434,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.03,fall,40,18,18,0,18,0,0,18,0,0,0.2174900827243815,0.3898403009064415,0.3302333061047016,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.03,fall,50,18,18,0,18,0,0,18,0,0,0.2396644625554473,0.3898402918917987,0.33149765424668876,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.03,fall,60,18,18,0,18,0,0,18,0,0,0.2590109552439699,0.3898402937725973,0.33094969000227703,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.1,rise,40,18,18,0,18,0,0,18,0,0,0.348189760438193,0.4361904419279969,0.3830671239930825,1.0,0.0,0.0,1.0,0.0
Kr,1.0,0.1,rise,50,18,18,0,18,0,0,18,0,0,0.3626786612554294,0.442399896249085,0.38769214601874713,1.0,0.0,0.0,1.0,0.0
