scenario_index,gene,T,processing_mean,decay_mean,peak_fraction,dt,rise_50_change,rise_class_changed,rise_sign_changed,fall_50_change,fall_class_changed,fall_sign_changed,peak_change,max_normalized_signal_change
753,mlpt,0.01,3.0,3.0,0.25,0.0005,-2.457686018239591e-08,False,False,1.2556231530069795e-06,False,False,-1.56854993900446e-06,5.002425160771651e-07
753,mlpt,0.01,3.0,3.0,0.25,0.00025,-2.7247593761131617e-08,False,False,1.1353832070071235e-06,False,False,-1.5811571344032105e-06,5.65961315389385e-07
754,mlpt,0.01,3.0,3.0,0.5,0.0005,-1.2510167440166198e-08,False,False,-2.8524308648414376e-07,False,False,-6.976988588813793e-07,2.2510463831837413e-07
754,mlpt,0.01,3.0,3.0,0.5,0.00025,-5.2316814030256564e-08,False,False,1.571590484417129e-07,False,False,-1.3870623032097296e-06,3.7227899107872275e-07
755,mlpt,0.01,3.0,3.0,0.75,0.0005,-1.1579708440040415e-07,False,False,1.0186514054488782e-06,False,False,-5.377569444096897e-06,4.928304974116671e-07
755,mlpt,0.01,3.0,3.0,0.75,0.00025,-1.843117897540325e-07,False,False,1.6224184764546123e-06,False,False,-6.464061272824784e-06,7.829958190708197e-07
792,mlpt,0.03,0.1,0.01,0.25,0.0005,-1.6817020946573277e-07,False,False,3.792831510961343e-07,False,False,-4.847274266778982e-07,1.7859173787604377e-06
792,mlpt,0.03,0.1,0.01,0.25,0.00025,-1.1908078027749011e-07,False,False,2.888939736199654e-07,False,False,-3.71499643528415e-07,1.812407861012666e-06
793,mlpt,0.03,0.1,0.01,0.5,0.0005,-3.944875467265388e-08,False,False,7.390945981324221e-08,False,False,1.419272677161132e-08,6.001222573881471e-07
793,mlpt,0.03,0.1,0.01,0.5,0.00025,-6.643886132229196e-08,False,False,9.686532457788216e-08,False,False,1.3448746338795559e-08,8.112670831228463e-07
812,mlpt,0.03,0.3,0.01,0.75,0.0005,-1.2212544342124487e-08,False,False,-5.945472603130497e-08,False,False,1.688541197673605e-08,7.98844567384549e-07
812,mlpt,0.03,0.3,0.01,0.75,0.00025,9.184178037004165e-08,False,False,-1.48805088695525e-07,False,False,-2.8997939141811417e-08,1.273903119103359e-06
